"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"72","Ankit Sharma","All-Rounder",1e+06,"Rising Pune Supergiant",2016,"Indian","SLA","Spinner",10,210,"35.0",258,8,"7.37","26.25"
"73","Ankit Sharma","All-Rounder",2e+06,"Rajasthan Royals",2018,"Indian","SLA","Spinner",10,210,"35.0",258,8,"7.37","26.25"
"74","Ankit Singh Rajpoot","Bowler",1.5e+07,"Kolkata Knight Riders",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ankit Singh Rajpoot","Bowler",3e+07,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Ankit Singh Rajpoot","Bowler",5e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ankush Bains","Wicket Keeper",1e+06,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Ankush Bains","Wicket Keeper",1e+06,"Chennai Super Kings",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Ankush Bains","Wicket Keeper",1e+06,"Rising Pune Supergiant",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Ankush Bains","Wicket Keeper",2e+06,"Delhi Capitals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Anmolpreet Singh","Batsman",8e+06,"Mumbai Indians",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Anmolpreet Singh","Batsman",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Anrich Nortje","Bowler",2e+06,"Kolkata Knight Riders",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Ansh Patel","All-Rounder",2e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Anuj Rawat","Wicket Keeper",8e+06,"Rajasthan Royals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Anuj Rawat","Wicket Keeper",3.4e+07,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Anukul Roy","All-Rounder",2e+06,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Anukul Roy","All-Rounder",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Anunay Singh","All-Rounder",2e+06,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Anureet Singh","Bowler",2e+06,"Kings XI Punjab",2014,"Indian","RFM","Pacer",16,346,"57.4",508,15,"8.81","23.07"
"91","Anureet Singh","Bowler",3e+06,"Rajasthan Royals",2018,"Indian","RFM","Pacer",16,346,"57.4",508,15,"8.81","23.07"
"92","Apoorv Vijay Wankhade","Batsman",1e+06,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Apoorv Vijay Wankhade","Batsman",2e+06,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Arjun Tendulkar","All-Rounder",2e+06,"Mumbai Indians",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Arjun Tendulkar","All-Rounder",3e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Armaan Jaffer","Batsman",1e+06,"Kings XI Punjab",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Arshdeep Singh","Bowler",2e+06,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Aryaman Vikram Birla","All-Rounder",3e+06,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Aryan Juyal","Wicket Keeper",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Asela Gunarathna","Batsman",3e+06,"Mumbai Indians",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Ashish Nehra","Bowler",2e+07,"Chennai Super Kings",2014,"Indian","LFM","Pacer",53,1152,"192.0",1478,68,"7.70","16.94"
"102","Ashish Nehra","Bowler",5.5e+07,"Sunrisers Hyderabad",2016,"Indian","LFM","Pacer",53,1152,"192.0",1478,68,"7.70","16.94"
"103","Ashish Reddy","Bowler",2e+06,"Sunrisers Hyderabad",2014,"Indian","RFM","Pacer",11,99,"16.3",159,7,"9.64","14.14"
"104","Ashok Dinda","Bowler",1.5e+07,"Royal Challengers Bangalore",2014,"Indian","RFM","Pacer",33,693,"115.3",1028,32,"8.90","21.66"
"105","Ashok Dinda","Bowler",5e+06,"Rising Pune Supergiant",2016,"Indian","RFM","Pacer",33,693,"115.3",1028,32,"8.90","21.66"
"106","Ashok Sharma","Bowler",5500000,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Ashton Turner","All-Rounder",5e+06,"Rajasthan Royals",2019,"Indian","OS","Spinner",12,114,"19.0",126,7,"6.63","16.29"
"108","Ashwin Hebbar","Batsman",2e+06,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Asif K M","Bowler",4e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Atharva Taide","All-Rounder",2e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Avesh Khan","Bowler",7e+06,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Avesh Khan","Bowler",1e+08,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
