"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"375","Jofra Archer","All-Rounder",8e+07,"Mumbai Indians",2022,"Overseas","RFM","Pacer",4,90,"15.0",139,5,"9.27","18.00"
"376","Johan Botha","All-Rounder",33750000,"Delhi Daredevils",2013,"Overseas","OS","Spinner",35,676,"112.4",813,22,"7.22","30.73"
"377","John Hastings","All-Rounder",5e+06,"Chennai Super Kings",2014,"Overseas","RFM","Pacer",53,1145,"190.5",1428,73,"7.48","15.68"
"378","John Hastings","Bowler",1.3e+07,"Kolkata Knight Riders",2016,"Overseas","RFM","Pacer",53,1145,"190.5",1428,73,"7.48","15.68"
"379","Jonny Bairstow","Wicket Keeper",2.2e+07,"Sunrisers Hyderabad",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Jonny Bairstow","Wicket Keeper",67500000,"Punjab Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Jos Buttler","Wicket Keeper",3.8e+07,"Mumbai Indians",2016,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Jos Buttler","Wicket Keeper",4.4e+07,"Rajasthan Royals",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Josh Hazlewood","Bowler",5e+06,"Mumbai Indians",2014,"Overseas","RFM","Pacer",17,402,"67.0",577,25,"8.61","16.08"
"384","Josh Hazlewood","Bowler",2e+07,"Chennai Super Kings",2020,"Overseas","RFM","Pacer",17,402,"67.0",577,25,"8.61","16.08"
"385","Josh Hazlewood","Bowler",77500000,"Royal Challengers Bangalore",2022,"Overseas","RFM","Pacer",17,402,"67.0",577,25,"8.61","16.08"
"386","Joshua Philippe","Wicket Keeper",2e+06,"Royal Challengers Bangalore",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Juan Theron","Bowler",3e+06,"Rajasthan Royals",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Krishnappa Gowtham","All-Rounder",9e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","K.Bhagath Varma","All-Rounder",2e+06,"Chennai Super Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","K.Bhagath Varma","All-Rounder",2e+06,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","K.C Cariappa","Bowler",2e+06,"Rajasthan Royals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","K.C Cariappa","Bowler",3e+06,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","K.C. Cariappa","Bowler",2.4e+07,"Kolkata Knight Riders",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","K.C. Cariappa","Bowler",8e+06,"Kings XI Punjab",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","K.K. Jiyaz","Bowler",1e+06,"Delhi Daredevils",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","K.M. Asif","Bowler",2e+06,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","K.S. Bharat","Wicket Keeper",2e+07,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Kagiso Rabada","Bowler",5e+07,"Delhi Daredevils",2017,"Overseas","RFM","Pacer",22,506,"84.2",660,28,"7.83","18.07"
"399","Kagiso Rabada","Bowler",4.2e+07,"Delhi Daredevils",2018,"Overseas","RFM","Pacer",22,506,"84.2",660,28,"7.83","18.07"
"400","Kagiso Rabada","Bowler",92500000,"Punjab Kings",2022,"Overseas","RFM","Pacer",22,506,"84.2",660,28,"7.83","18.07"
"401","Kamlesh Nagarkoti","All-Rounder",3.2e+07,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Kamlesh Nagarkoti","All-Rounder",1.1e+07,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Kane Richardson","Bowler",52500000,"Pune Warriors India",2013,"Overseas","RFM","Pacer",41,861,"143.3",1205,44,"8.40","19.57"
"404","Kane Richardson","Bowler",1e+07,"Rajasthan Royals",2014,"Overseas","RFM","Pacer",41,861,"143.3",1205,44,"8.40","19.57"
"405","Kane Richardson","Bowler",2e+07,"Royal Challengers Bangalore",2016,"Overseas","RFM","Pacer",41,861,"143.3",1205,44,"8.40","19.57"
"406","Kane Richardson","Bowler",4e+07,"Royal Challengers Bangalore",2020,"Overseas","RFM","Pacer",41,861,"143.3",1205,44,"8.40","19.57"
"407","Kane Williamson","All-Rounder",6e+06,"Sunrisers Hyderabad",2015,"Overseas","OS","Spinner",10,102,"17.0",122,5,"7.18","20.40"
"408","Kane Williamson","Batsman",3e+07,"Sunrisers Hyderabad",2018,"Overseas","OS","Spinner",10,102,"17.0",122,5,"7.18","20.40"
"409","Kanishk Seth","All-Rounder",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Karan Sharma","All-Rounder",2e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Karanveer Singh","All-Rounder",1e+06,"Kings XI Punjab",2014,"Indian",NA,NA,9,204,"34.0",321,12,"9.44","17.00"
"412","Karn Sharma","Bowler",37500000,"Sunrisers Hyderabad",2014,"Indian","LS","Spinner",47,874,"145.4",1137,37,"7.81","23.62"
"413","Karn Sharma","All-Rounder",3.2e+07,"Mumbai Indians",2017,"Indian","LS","Spinner",47,874,"145.4",1137,37,"7.81","23.62"
"414","Karn Sharma","Bowler",5e+07,"Chennai Super Kings",2018,"Indian","LS","Spinner",47,874,"145.4",1137,37,"7.81","23.62"
"415","Karn Sharma","Bowler",5e+06,"Royal Challengers Bangalore",2022,"Indian","LS","Spinner",47,874,"145.4",1137,37,"7.81","23.62"
"416","Kartik Tyagi","Bowler",1.3e+07,"Rajasthan Royals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Kartik Tyagi","Bowler",4e+07,"Sunrisers Hyderabad",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Karun Nair","Batsman",7500000,"Rajasthan Royals",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Karun Nair","Batsman",4e+07,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Karun Nair","Batsman",5.6e+07,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Karun Nair","Batsman",5e+06,"Kolkata Knight Riders",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Karun Nair","Batsman",1.4e+07,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Kedar Jadhav","Batsman",2e+07,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Kedar Jadhav","All-Rounder",7.8e+07,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Kedar Jadhav","All-Rounder",2e+07,"Sunrisers Hyderabad",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Keemo Paul","All-Rounder",5e+06,"Delhi Capitals",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Kevin Pietersen","Batsman",9e+07,"Delhi Daredevils",2014,"Overseas",NA,NA,2,12,"2.0",20,0,"10.00",NA
"428","Kevin Pietersen","Batsman",2e+07,"Sunrisers Hyderabad",2015,"Overseas",NA,NA,2,12,"2.0",20,0,"10.00",NA
"429","Kevin Pietersen","Batsman",3.5e+07,"Rising Pune Supergiant",2016,"Overseas",NA,NA,2,12,"2.0",20,0,"10.00",NA
"430","Kevon Cooper","All-Rounder",3e+06,"Rajasthan Royals",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Kieron Pollard","All-Rounder",5.4e+07,"Mumbai Indians",2018,"Overseas","RFM","Pacer",57,694,"115.4",1086,29,"9.39","23.93"
"432","Kishore Pramod Kamath","All-Rounder",1.4e+07,"Mumbai Indians",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","KL Rahul","Batsman",1e+07,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","KL Rahul","Batsman",1.1e+08,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Kona Srikar Bharat","Wicket Keeper",1e+06,"Delhi Daredevils",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Kona Srikar Bharat","Wicket Keeper",2e+06,"Royal Challengers Bangalore",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Krishnappa Gowtham","All-Rounder",2e+07,"Mumbai Indians",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Krishnappa Gowtham","Bowler",6.2e+07,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Krishnappa Gowtham","All-Rounder",92500000,"Chennai Super Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Krismar Santokie","Bowler",3e+06,"Mumbai Indians",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Krunal Pandya","All-Rounder",2e+07,"Mumbai Indians",2016,"Indian","SLA","Spinner",11,187,"31.1",236,6,"7.57","31.17"
"442","Krunal Pandya","All-Rounder",8.8e+07,"Mumbai Indians",2018,"Indian","SLA","Spinner",11,187,"31.1",236,6,"7.57","31.17"
"443","Krunal Pandya","All-Rounder",82500000,"Lucknow Super Giants",2022,"Indian","SLA","Spinner",11,187,"31.1",236,6,"7.57","31.17"
"444","Kshitiz Sharma","All-Rounder",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Kuldeep Sen","Bowler",2e+06,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Kuldeep Yadav","Bowler",4e+06,"Kolkata Knight Riders",2014,"Indian","LAW","Spinner",3,72,"12.0",100,6,"8.33","12.00"
"447","Kuldeep Yadav","Bowler",5.8e+07,"Kolkata Knight Riders",2018,"Indian","LAW","Spinner",3,72,"12.0",100,6,"8.33","12.00"
"448","Kuldeep Yadav","Bowler",2e+07,"Delhi Capitals",2022,"Indian","LAW","Spinner",3,72,"12.0",100,6,"8.33","12.00"
"449","Kuldip Yadav","Bowler",2e+06,"Rajasthan Royals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Kuldip Yadav","Bowler",2e+06,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Kulwant Khejroliya","Bowler",1e+06,"Mumbai Indians",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Kulwant Khejroliya","Bowler",8500000,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Kusal Janith Perera","Wicket Keeper",1500000,"Rajasthan Royals",2013,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Kyle Abbott","Bowler",3e+06,"Chennai Super Kings",2015,"Overseas","RFM","Pacer",46,981,"163.3",1425,43,"8.72","22.81"
"455","Kyle Abbott","Bowler",2.1e+07,"Kings XI Punjab",2016,"Overseas","RFM","Pacer",46,981,"163.3",1425,43,"8.72","22.81"
"456","Kyle Jamieson","All-Rounder",1.5e+08,"Royal Challengers Bangalore",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Kyle Mayers","All-Rounder",5e+06,"Lucknow Super Giants",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Lakshmipathy Balaji","Bowler",1.8e+07,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Lalit Yadav","All-Rounder",2e+06,"Delhi Capitals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Lalit Yadav","All-Rounder",6500000,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Lasith Malinga","Bowler",2e+07,"Mumbai Indians",2019,"Overseas","RFM","Pacer",71,1628,"271.2",1873,95,"6.90","17.14"
"462","Laxmi Ratan Shukla","All-Rounder",1.5e+07,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Laxmi Ratan Shukla","All-Rounder",3e+06,"Sunrisers Hyderabad",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Liam Livingstone","All-Rounder",5e+06,"Rajasthan Royals",2019,"Overseas","LS","Spinner",1,12,"2.0",9,1,"4.50","12.00"
"465","Liam Livingstone","All-Rounder",7500000,"Rajasthan Royals",2021,"Overseas","LS","Spinner",1,12,"2.0",9,1,"4.50","12.00"
"466","Liam Livingstone","All-Rounder",1.15e+08,"Punjab Kings",2022,"Overseas","LS","Spinner",1,12,"2.0",9,1,"4.50","12.00"
"467","Lockie Ferguson","Bowler",5e+06,"Rising Pune Supergiant",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Lockie Ferguson","Bowler",1.6e+07,"Kolkata Knight Riders",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Lockie Ferguson","Bowler",1e+08,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Luke Pomersbach","Batsman",22500000,"Kings XI Punjab",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Lukman Hussain Meriwala","Bowler",2e+06,"Delhi Capitals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Lungisani Ngidi","Bowler",5e+06,"Chennai Super Kings",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Lungisani Ngidi","Bowler",5e+06,"Delhi Capitals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Luvnith Sisodia","Wicket Keeper",2e+06,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","M Siddharth","Bowler",2e+06,"Kolkata Knight Riders",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","M Siddharth","Bowler",2e+06,"Delhi Capitals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","M. Ashwin","Bowler",4.5e+07,"Rising Pune Supergiant",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","M. Ashwin","Bowler",1e+07,"Delhi Daredevils",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","M. Ashwin","Bowler",2.2e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","M. Ashwin","Bowler",2e+06,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","M. Harisankar Reddy","Bowler",2e+06,"Chennai Super Kings",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Washington Sundar","All-Rounder",3.2e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Maheesh Theekshana","Bowler",7e+06,"Chennai Super Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Mahipal Lomror","All-Rounder",1e+06,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Mahipal Lomror","All-Rounder",2e+06,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Mahipal Lomror","All-Rounder",9500000,"Royal Challengers Bangalore",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Manan Ajay Sharma","All-Rounder",1e+06,"Kolkata Knight Riders",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Manan Vohra","Batsman",1.1e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","Manan Vohra","Batsman",2e+06,"Rajasthan Royals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Manan Vohra","Batsman",2e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Mandeep Hardev Singh","All-Rounder",8e+06,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Mandeep Singh","All-Rounder",1.4e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Mandeep Singh","Batsman",1.1e+07,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Manish Pandey","Batsman",1.7e+07,"Kolkata Knight Riders",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Manish Pandey","Batsman",1.1e+08,"Sunrisers Hyderabad",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Manish Pandey","Batsman",4.6e+07,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Manjot Kalra","Batsman",2e+06,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Manoj Tiwary","Batsman",2.8e+07,"Delhi Daredevils",2014,"Indian","OS","Spinner",1,12,"2.0",28,0,"14.00",NA
"499","Manoj Tiwary","Batsman",5e+06,"Rising Pune Supergiant",2017,"Indian","OS","Spinner",1,12,"2.0",28,0,"14.00",NA
"500","Manoj Tiwary","Batsman",1e+07,"Kings XI Punjab",2018,"Indian","OS","Spinner",1,12,"2.0",28,0,"14.00",NA
"501","Manpreet Gony","Bowler",37500000,"Kings XI Punjab",2013,"Indian","RFM","Pacer",8,168,"28.0",256,7,"9.14","24.00"
"502","Manpreet Gony","Bowler",6e+06,"Gujarat Lions",2017,"Indian","RFM","Pacer",8,168,"28.0",256,7,"9.14","24.00"
"503","Manprit Juneja","Batsman",1e+06,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","Manvinder Bisla","Wicket Keeper",6e+06,"Kolkata Knight Riders",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Manzoor Dar","All-Rounder",2e+06,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Marchant De Lange","Bowler",3e+06,"Mumbai Indians",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Marco Jansen","All-Rounder",2e+06,"Mumbai Indians",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","Marco Jansen","All-Rounder",4.2e+07,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","Marcus Stoinis","All-Rounder",2500000,"Delhi Daredevils",2015,"Overseas","RFM","Pacer",18,258,"43.0",356,18,"8.28","14.33"
"510","Marcus Stoinis","All-Rounder",5500000,"Kings XI Punjab",2016,"Overseas","RFM","Pacer",18,258,"43.0",356,18,"8.28","14.33"
"511","Marcus Stoinis","All-Rounder",6.2e+07,"Kings XI Punjab",2018,"Overseas","RFM","Pacer",18,258,"43.0",356,18,"8.28","14.33"
"512","Marcus Stoinis","All-Rounder",4.8e+07,"Delhi Capitals",2020,"Overseas","RFM","Pacer",18,258,"43.0",356,18,"8.28","14.33"
"513","Mark Wood","Bowler",1.5e+07,"Chennai Super Kings",2018,"Overseas","RFM","Pacer",9,186,"31.0",210,14,"6.77","13.29"
"514","Mark Wood","Bowler",7.5e+07,"Lucknow Super Giants",2022,"Overseas","RFM","Pacer",9,186,"31.0",210,14,"6.77","13.29"
"515","Martin Guptill","Batsman",5e+06,"Kings XI Punjab",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","Martin Guptill","Batsman",1e+07,"Sunrisers Hyderabad",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Matt Henry","Bowler",3e+06,"Chennai Super Kings",2014,"Overseas","RFM","Pacer",16,327,"54.3",499,14,"9.16","23.36"
"518","Matt Henry","Bowler",5e+06,"Kings XI Punjab",2017,"Overseas","RFM","Pacer",16,327,"54.3",499,14,"9.16","23.36"
"519","Matthew Wade","Wicket Keeper",2.4e+07,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","Mayank Agarwal","Batsman",1.6e+07,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","Mayank Agarwal","Batsman",1e+07,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","Mayank Dagar","All-Rounder",2e+06,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Mayank Markande","Bowler",2e+06,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Mayank Markande","Bowler",6500000,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Mayank Yadav","Bowler",2e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","Michael Clarke","Batsman",3e+07,"Pune Warriors India",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","Michael Hussey","Batsman",5e+07,"Mumbai Indians",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","Michael Hussey","Batsman",1.5e+07,"Chennai Super Kings",2015,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Midhun S","All-Rounder",2e+06,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","Milind Kumar","Batsman",1e+06,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","Milind Kumar","All-Rounder",2e+06,"Royal Challengers Bangalore",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","Milind Tandon","All-Rounder",1e+06,"Rising Pune Supergiant",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Mitchell Johnson","All-Rounder",6.5e+07,"Kings XI Punjab",2014,"Overseas","LFM","Pacer",47,1085,"180.5",1488,59,"8.23","18.39"
"534","Mitchell Johnson","Bowler",2e+07,"Mumbai Indians",2017,"Overseas","LFM","Pacer",47,1085,"180.5",1488,59,"8.23","18.39"
"535","Mitchell Johnson","Bowler",2e+07,"Kolkata Knight Riders",2018,"Overseas","LFM","Pacer",47,1085,"180.5",1488,59,"8.23","18.39"
"536","Mitchell Marsh","All-Rounder",4.8e+07,"Rising Pune Supergiant",2016,"Overseas","RFM","Pacer",25,392,"65.2",556,20,"8.51","19.60"
"537","Mitchell Marsh","All-Rounder",2e+07,"Sunrisers Hyderabad",2020,"Overseas","RFM","Pacer",25,392,"65.2",556,20,"8.51","19.60"
"538","Mitchell Marsh","All-Rounder",6.5e+07,"Delhi Capitals",2022,"Overseas","RFM","Pacer",25,392,"65.2",556,20,"8.51","19.60"
"539","Mitchell McClenaghan","Bowler",3e+06,"Mumbai Indians",2015,"Overseas","LFM","Pacer",60,1330,"221.4",1798,78,"8.11","17.05"
"540","Mitchell Santner","All-Rounder",5e+06,"Chennai Super Kings",2018,"Overseas","SLA","Spinner",11,229,"38.1",245,19,"6.42","12.05"
"541","Mitchell Santner","All-Rounder",1.9e+07,"Chennai Super Kings",2022,"Overseas","SLA","Spinner",11,229,"38.1",245,19,"6.42","12.05"
"542","Mitchell Starc","Bowler",5e+07,"Royal Challengers Bangalore",2014,"Overseas","LFM","Pacer",43,966,"161.0",1161,55,"7.21","17.56"
"543","Mitchell Starc","Bowler",9.4e+07,"Kolkata Knight Riders",2018,"Overseas","LFM","Pacer",43,966,"161.0",1161,55,"7.21","17.56"
"544","Mithun Manhas","All-Rounder",3e+06,"Chennai Super Kings",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","Moeen Ali","All-Rounder",1.7e+07,"Royal Challengers Bangalore",2018,"Overseas","OS","Spinner",29,528,"88.0",683,23,"7.76","22.96"
"546","Moeen Ali","All-Rounder",7e+07,"Chennai Super Kings",2021,"Overseas","OS","Spinner",29,528,"88.0",683,23,"7.76","22.96"
"547","Mohammad Nabi","All-Rounder",3e+06,"Sunrisers Hyderabad",2017,"Overseas","OS","Spinner",35,774,"129.0",865,38,"6.71","20.37"
"548","Mohammad Nabi","All-Rounder",1e+07,"Sunrisers Hyderabad",2018,"Overseas","OS","Spinner",35,774,"129.0",865,38,"6.71","20.37"
"549","Mohammad Nabi","All-Rounder",1e+07,"Kolkata Knight Riders",2022,"Overseas","OS","Spinner",35,774,"129.0",865,38,"6.71","20.37"
"550","Mohammad Shami","Bowler",42500000,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","Mohammad Shami","Bowler",3e+07,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Mohammad Shami","Bowler",4.8e+07,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Mohammad Shami","Bowler",62500000,"Gujarat Titans",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Mohammed Azharudeen","Wicket Keeper",2e+06,"Royal Challengers Bangalore",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","Mohammed Siraj","Bowler",2.6e+07,"Sunrisers Hyderabad",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","Mohammed Siraj","Bowler",2.6e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Mohd. Arshad Khan","All-Rounder",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","Mohit Sharma","Bowler",2e+07,"Chennai Super Kings",2014,"Indian","RFM","Pacer",69,1398,"233.0",1851,76,"7.94","18.39"
"559","Mohit Sharma","Bowler",6.5e+07,"Kings XI Punjab",2016,"Indian","RFM","Pacer",69,1398,"233.0",1851,76,"7.94","18.39"
"560","Mohit Sharma","Bowler",2.4e+07,"Kings XI Punjab",2018,"Indian","RFM","Pacer",69,1398,"233.0",1851,76,"7.94","18.39"
"561","Mohit Sharma","Bowler",5e+07,"Chennai Super Kings",2019,"Indian","RFM","Pacer",69,1398,"233.0",1851,76,"7.94","18.39"
"562","Mohit Sharma","Bowler",5e+06,"Delhi Capitals",2020,"Indian","RFM","Pacer",69,1398,"233.0",1851,76,"7.94","18.39"
"563","Mohsin Khan","Bowler",2e+06,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","Mohsin Khan","Bowler",2e+06,"Mumbai Indians",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Mohsin Khan","Bowler",2e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
